----------------------------------------------------------------------------------,,,,
Search Criteria: ,,,,
"Text Search: lung cancer (and);Search in: Projects 		AdminIC: All; Fiscal Year: Active Projects ",,,,
----------------------------------------------------------------------------------,,,,
Project Title,Organization Name,FY,FY Total Cost ,FY Total Cost  (Sub Projects)
SMALL MOLECULE ANTIBODY MIMICS: TOWARD A NEW PARADIGM IN TARGETED CANCER THERAPY,YALE UNIVERSITY,2015,327334,
NICOTINE; NICOTINIC RECEPTORS AND LUNG CANCER,OREGON HEALTH & SCIENCE UNIVERSITY,2015,423219,
NEW CANCER THERAPEUTIC TARGET,DARTMOUTH COLLEGE,2015,211410,
MOLECULAR AND IMAGING BIOMARKERS FOR EARLY LUNG CANCER DETECTION IN THE SETTING OF INDETERMINATE PULMONARY NODULES,BOSTON UNIVERSITY MEDICAL CAMPUS,2016,676510,
THE BOSTON UNIVERSITY-UCLA LUNG CANCER BIOMARKER DEVELOPMENT LAB,BOSTON UNIVERSITY MEDICAL CAMPUS,2016,565669,
PROGRAM 3: FREE RADICAL METABOLISM AND IMAGING,UNIVERSITY OF IOWA,2016,,32573
EXHALED MICRORNAS LEVERAGED FOR LUNG CANCER RISK ASSESSMENT,"ALBERT EINSTEIN COLLEGE OF MEDICINE, INC",2016,181613,
TUMOR-INTRINSIC ONCOGENIC ALTERATIONS AND EVASION OF ANTI-TUMOR IMMUNITY,UNIVERSITY OF CHICAGO,2016,111690,
GENOTOXICITY AND REPAIR OF TOBACCO-SPECIFIC NITROSAMINE DNA ADDUCTS,PENNSYLVANIA STATE UNIV HERSHEY MED CTR,2016,338755,
ISOZYME SELECTIVITY AMONG TRIPLE HELIX CLEAVING METALLOPROTEINASES,NORTH DAKOTA STATE UNIVERSITY,2014,347083,
VAULT-CCL21 NANOCAPSULE FOR LUNG CANCER,PROTEIN SCIENCES CORPORATION,2016,168750,
VAULT-CCL21 NANOCAPSULE FOR LUNG CANCER,PROTEIN SCIENCES CORPORATION,2015,358179,
CHEMOPREVENTION OF COLORECTAL CANCER BY ALDOSE REDUCTASE INHIBITION,UNIVERSITY OF TEXAS MEDICAL BR GALVESTON,2016,311976,
(PQA2) ELUCIDATING THE LINK BETWEEN OBESITY; INFLAMMATION AND ESTROGEN SIGNALING,UNIVERSITY OF PITTSBURGH AT PITTSBURGH,2015,200970,
DIFFERENTIAL REDOX & ELECTROPHILIC TOXICITIES OF MODIFIED TOBACCO PRODUCTS,UNIVERSITY OF CALIFORNIA-IRVINE,2014,195416,
NG2-PG IN TUMOR VASCULARIZATION AND PROGRESSION,SANFORD BURNHAM PREBYS MEDICAL DISCOVERY INSTITUTE,2016,60953,
NG2-PG IN TUMOR VASCULARIZATION AND PROGRESSION,SANFORD BURNHAM PREBYS MEDICAL DISCOVERY INSTITUTE,2015,436389,
2016 BIOLOGY OF ACUTE RESPIRATORY INFECTION GORDON RESEARCH CONFERENCE & GORDON RESEARCH SEMINAR,GORDON RESEARCH CONFERENCES,2016,5000,
ARSENIC AND INNATE IMMUNITY IN HUMAN LUNG,DARTMOUTH COLLEGE,2016,,392738
SOURCES AND PROTRACTED EFFECTS OF EARLY LIFE EXPOSURE TO ARSENIC AND MERCURY,DARTMOUTH COLLEGE,2016,2574836,
UNIVERSITY OF MARYLAND; BALTIMORE BIOMARKER REFERENCE LABORATORY,UNIVERSITY OF MARYLAND BALTIMORE,2016,461999,
DISSECTING THE ROLES OF TSC1 AND TSC2 AT THE CENTROSOME,STANFORD UNIVERSITY,2015,174544,
MOLECULAR ANALYSIS OF BREAST CANCER METASTASIS TO THE BRAIN,DIVISION OF BASIC SCIENCES - NCI,2015,785037,
MOLECULAR BIOLOGY OF THE METASTATIC PHENOTYPE,DIVISION OF CLINICAL SCIENCES - NCI,2015,785037,
DEVELOPMENT OF SALMONELLA VACCINES FOR BREAST CANCER AND VIRUSES,NATIONAL INSTITUTE OF ALLERGY AND INFECTIOUS DISEASES,2015,67482,
MORTALITY AND RENAL-DISEASE AMONG LEAD-EXPOSED WORKERS,EMORY UNIVERSITY,2016,465028,
PROVISIONAL MATRIX CITRULLINATION AS AN ACTIVATOR OF FIBROBLASTS IN INTERSTITIAL LUNG DISEASE,GEORGIA INSTITUTE OF TECHNOLOGY,2016,43576,
GENES CONTRIBUTING FOR NICOTINE DEPENDENCE IN HUMANS,"DECODE GENETICS, EHF",2015,923267,
SIMULATING PROTEIN STRUCTURES; COMPLEXES; AND DYNAMICS,CENTER  FOR INFORMATION TECHNOLOGY,2015,590933,
CANCER IN ADULTS FOLLOWING IN UTERO AND EARLY LIFE EXPOSURE TO ARSENIC,UNIVERSITY OF CALIFORNIA BERKELEY,2016,443622,
USING EXHALED BREATH TO EVALUATE THE LONG-TERM MECHANISMS OF EARLY-LIFE ARSENIC EXPOSURE,UNIVERSITY OF CALIFORNIA BERKELEY,2016,191562,
PROJECT 3; STEITZ: VIRAL NONCODING RNAS AND CELL TRANSFORMATION,YALE UNIVERSITY,2016,,123787
TISSUE SPECIFIC REGULATION OF DIABETES-ASSOCIATED CANCER GROWTH,CLEVELAND CLINIC LERNER COM-CWRU,2016,328888,
CROSSTALK BETWEEN METABOLISM AND INFLAMMATION IN PULMONARY HYPERTENSION,UNIVERSITY OF COLORADO DENVER,2016,,417007
STRATEGIES FOR EARLY TREATMENT OF BONE METASTASES,VETERANS HEALTH ADMINISTRATION,2016,,
SUBFERTILITY AND ASSISTED CONCEPTION STUDY OF PARENT AND CHILD HEALTH OUTCOMES,DARTMOUTH COLLEGE,2016,734219,
PRECLINICAL DEVELOPMENT OF TIMP-2 AS A BIOLOGIC THERAPY FOR CANCER,DIVISION OF BASIC SCIENCES - NCI,2015,951648,
THE ROLE OF TIMPS IN CELL GROWTH; TUMOR PROGRESSION AND METASTASIS,DIVISION OF CLINICAL SCIENCES - NCI,2015,634432,
UNCOVERING THE MECHANISMS BY WHICH AGED STROMA IMPACTS TUMOR INITIATION,WASHINGTON UNIVERSITY,2015,315400,
THE ROLE OF PTEN AND AKT2 IN THE MALIGNANT TRANSFORMATION OF LIVER PROGENITOR CEL,UNIVERSITY OF SOUTHERN CALIFORNIA,2016,342375,
DEFINING THE URBAN-RURAL CONTINUUM AND DISTINGUISHING RURAL DIFFERENCES TO PREVENT TOBACCO USE,NATIONAL OPINION RESEARCH CENTER,2016,175200,
CHEMICAL GENETIC PROFILING OF ENGINEERED TUMOR CELLS,COLUMBIA UNIV NEW YORK MORNINGSIDE,2016,350176,
2016 BONE MARROW FAILURE DISEASE SCIENTIFIC SYMPOSIUM,APLASTIC ANEMIA & MDS INTERNATIONAL FDN,2016,10000,
INDUCTION OF THERAPEUTIC IMMUNITY IN THE TUMOR MICROENVIRONMENT,UNIVERSITY OF PITTSBURGH AT PITTSBURGH,2016,341699,
MOTIVATIONAL INCENTIVES TO REDUCE SECONDHAND SMOKE IN NICU INFANTS' HOMES,UNIVERSITY OF TEXAS HLTH SCI CTR HOUSTON,2016,726997,
CORE C - BIOSTATISTICS CORE,UNIVERSITY OF MINNESOTA,2016,,137403
MICRO-WESTERN ARRAY METHODOLOGY FOR ASSESSMENT OF PREANALYTICAL VARIABILITY IN BI,UNIVERSITY OF CHICAGO,2016,206190,
IDENTIFICATION OF NOVEL MECHANISMS OF AUTOPHAGY REGULATION FOR CANCER,OHIO STATE UNIVERSITY,2016,193428,
A SIMPLE AND ROBUST INDICATOR FOR GLUTATHIONE,PORTLAND STATE UNIVERSITY,2014,434644,
IGF::OT::IGF CORE INFRASTURCTURE SUPPORT FOR SURVEILLANCE; EPIDEMIOLOGY AND END RESULTS (SEER)PERIOD OF PERFORMANCE: 05/01/2015 TO 04/30/2016,RBHS -CANCER INSTITUTE OF NEW JERSEY,2015,1048092,
EPIGENOTYPING IN PERIPHERAL BLOOD CELL DNA AND RISK OF BREAST CANCER,UNIVERSITY OF MASSACHUSETTS AMHERST,2013,414801,
VALIDATION OF FINDINGS FROM THE EPIGENOME-WIDE ASSOCIATION STUDY OF BREAST CANCER,UNIVERSITY OF MASSACHUSETTS AMHERST,2016,181456,
PROPENSITY SCORES AND PREVENTIVE DRUG USE IN THE ELDERLY,UNIV OF NORTH CAROLINA CHAPEL HILL,2015,411862,
THE ROLE OF WILD-TYPE KRAS IN THE CONTEXT OF TUMOR PROFESSION AND METASTASIS,COLUMBIA UNIVERSITY HEALTH SCIENCES,2016,436453,
BIOLOGICAL AND BIOCHEMICAL CHARACTERIZATION OF SIGMA RECEPTORS,NATIONAL INSTITUTE ON DRUG ABUSE,2015,1659040,
IMAGING CELLULAR ASSEMBLIES WITH THREE-DIMENSIONAL ELECTRON MICROSCOPY,DIVISION OF BASIC SCIENCES - NCI,2015,809672,
NANOCYTOLOGY TO MITIGATE OVERDIAGNOSIS OF PROSTATE CANCER,"NANOCYTOMICS, LLC",2016,713412,
BUCCAL NANOCYTOLOGICAL RISK STRATIFICATION TO PERSONALIZE LUNG CANCER SCREENING,"NANOCYTOMICS, LLC",2016,769969,
HIGH-THROUGHPUT MOLECULAR-SPECIFIC CELL NANOCYTOLOGY FOR CANCER SCREENING,NORTHWESTERN UNIVERSITY,2016,337563,
DIAGNOSTIC AND PROGNOSTIC BIOMARKERS IN PNEUMONIA,CLINICAL CENTER,2015,,
LUNG TISSUE RESEARCH CONSORTIUM: TISSUE REPOSITORY,NATIONAL JEWISH HEALTH,2015,368072,
IMPACT OF SPECIALIST PALLIATIVE CARE ON OUTCOMES IN ADVANCED STAGE LUNG CANCER,OREGON HEALTH & SCIENCE UNIVERSITY,2016,165090,
THE KENTUCKY PEDIATRIC CLINICAL TRIALS RURAL/URBAN PARTNERSHIP,UNIVERSITY OF LOUISVILLE,2016,1673259,
DEFINING CELL-CELL COOPERATIVITY BETWEEN PHENOTYPICALLY HETEROGENEOUS INVADING CANCER CELLS,EMORY UNIVERSITY,2016,43576,
NOVEL REGULATION OF RECEPTOR TYROSINE KINASES BY ASM (ACIDIC SPHINGOMYELINASE),UNIVERSITY OF NEVADA LAS VEGAS,2016,427951,
INHIBITION OF THE TUMOR-PROMOTING EFFECTS OF TGF-BETA IN ADVANCED PROSTATE CANCER,UNIVERSITY OF TEXAS HLTH SCIENCE CENTER,2016,310213,
REACTIVATION OF KAPOSI'S SARCOMA-ASSOCIATED HERPESVIRUS,UNIVERSITY OF CALIFORNIA LOS ANGELES,2016,284547,
THERAPEUTIC POTENTIAL OF MTOR KINASE INHIBITORS IN LUNG CANCER,EMORY UNIVERSITY,2016,321625,
SAG E3 UBIQUITIN LIGASE IN REGULATION OF TRANSFORMATION AND CARCINOGENESIS,UNIVERSITY OF MICHIGAN,2015,268009,
THE ROLE OF FBXW2 AS A NOVEL LUNG TUMOR SUPPRESSOR THAT CROSS-TALKS WITH ONCOGENIC BETA-TRCP AND SKP2,UNIVERSITY OF MICHIGAN,2016,368125,
A NEW MECHANISM FOR CASTRATION RESISTANT PROSTATE CANCER,BECKMAN RESEARCH INSTITUTE/CITY OF HOPE,2016,368984,
TRANSCRIPTIONAL CONTROL OF INTESTINAL CD4+ T CELL ADAPTION,SCRIPPS FLORIDA,2016,240000,
CORE 1: BIOSPECIMEN AND DATA MANAGEMENT CORE,STANFORD UNIVERSITY,2016,,368934
COMPUTER INTEGRATED SYSTEMS FOR MICROSCOPY AND MANIPULATION (CISMM),UNIV OF NORTH CAROLINA CHAPEL HILL,2016,1153607,
THE CELLULAR AND MOLECULAR MECHANISMS REGULATING RENAL PROXIMAL TUBULE MORPHOGENESIS ,SANFORD RESEARCH/USD,2016,,286855
AVB6-DIRECTED MOLECULAR IMAGING AND THERAPY,UNIVERSITY OF CALIFORNIA AT DAVIS,2016,461496,
INCREASING THE DIAGNOSTIC YIELD OF LOW-RISK BRONCHIAL BIOPSY IN THE EVALUATION OF,MASSACHUSETTS GENERAL HOSPITAL,2016,534492,
APOPTOSIS-BASED THERAPY TO TREAT PULMONARY HYPERTENSION,GEORGETOWN UNIVERSITY,2016,311000,
INVESTIGATING THE ROLE OF DNA POLYMERASE IOTA IN THE DEVELOPMENT OF LUNG CANCER,U.S. NATIONAL INST/CHILD HLTH/HUMAN DEV,2016,,
THE ROLE OF THE LONG NON-CODING RNA FALCOR IN EARLY ENDODERM AND LUNG DEVELOPMENT,CINCINNATI CHILDRENS HOSP MED CTR,2016,83475,
IGF::OT::IGF CORE INFRASTRUCUTE SUPPORT FOR SURVEILLANCE; EPIDEMIOLOGY; AND END RESULTS (SEER) STUDY PERIOD OF PERFORMANCE 05/01/2015-04/30/2016,UNIVERSITY OF UTAH,2015,1861162,
LRIG PROTEINS IN MAMMARY GLAND DEVELOPMENT AND CARCINOGENESIS,UNIVERSITY OF CALIFORNIA AT DAVIS,2016,234465,
NOVEL EFFECTORS OF KRAS IN ONCOGENESIS; SENESCENCE AND TUMOR PROGRESSION,STANFORD UNIVERSITY,2016,271577,
MECHANISMS OF CHEMOTHERAPY RESPONSE AND TUMOR RE-INITIATION IN LUNG CANCER,STANFORD UNIVERSITY,2015,21424,
MECHANISMS OF CHEMOTHERAPY RESPONSE AND TUMOR RE-INITIATION IN LUNG CANCER,STANFORD UNIVERSITY,2015,340622,
PROJECT 1: BIOMARKERS OF EXPOSURE VERSUS EFFECT: IMPROVING THE SCIENTIFIC BASIS F,UNIV OF NORTH CAROLINA CHAPEL HILL,2016,,397716
SCUTELLARIA BAICALENSIS TARGETS HIF-1(ALPHA) IN CANCER,HENRY M. JACKSON FDN FOR THE ADV MIL/MED,2016,77878,
ROLE OF THE SPHK1/S1P SIGNALING AXIS IN THE PATHOGENESIS OF PULMONARY ARTERIAL HYPERTENSION,UNIVERSITY OF ILLINOIS AT CHICAGO,2016,48576,
THERAPEUTIC REPURPOSING OF BENSERAZIDE FOR COLON CANCER,UNIVERSITY OF TEXAS MEDICAL BR GALVESTON,2016,271250,
MITOCHONDRIAL DNA: A TARGET AND EFFECTOR OF PULMONARY EPITHELIAL CELL INJURY,UNIVERSITY OF TEXAS MEDICAL BR GALVESTON,2016,193750,
CONTROL OF PROLIFERATION-RELATED GENES AND MIRS BY NKX2-1 IN LUNG DEVELOPMENT,BOSTON UNIVERSITY MEDICAL CAMPUS,2016,160790,
BLOOD BIOMARKERS FOR LUNG CANCER SCREENING RISK ASSESSMENT; AND EARLY DETECTION,UNIVERSITY OF TX MD ANDERSON CAN CTR,2016,366000,
INVESTIGATING WNT AND LGR5 SIGNALING AS REGULATORS OF LUNG CANCER HETEROGENEITY,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,2015,122873,
DEVELOPMENT OF MOLECULAR PROBES FOR BIOMEDICAL APPLICATIONS,UNIVERSITY OF FLORIDA,2016,307028,
MECHANICAL REGULATION OF THE MICROENVIRONMENTAL NICHE IN SKIN TUMORIGENESIS,DIVISION OF BASIC SCIENCES - NCI,2015,271642,
ORPHAN NUCLEAR RECEPTOR AS NOVEL DRUG DISCOVERY TARGET FOR CANCER IMMUNOTHERAPY,ORPHAGEN PHARMACEUTICALS,2015,224954,
BISPHOSPHONATE USE AND LUNG CANCER INCIDENCE AND MORTALITY IN ELDERLY WOMEN,UNIVERSITY OF NORTH TEXAS HLTH SCI CTR,2016,73000,
SELF-ASSEMBLING PROTOVIRAL NANOPARTICLES,DIVISION OF BASIC SCIENCES - NCI,2015,381512,
COMBINATORIAL NANOTHERAPEUTIC APPROACH FOR ADVANCED PROSTATE CANCER TREATMENT,OREGON STATE UNIVERSITY,2016,440708,
ROLE OF ABCG1 IN LIPID HOMEOSTASIS; INFLAMMATION AND INNATE IMMUNITY,UNIVERSITY OF CALIFORNIA LOS ANGELES,2016,246539,
PROJECT 1: THE EFFECTS OF NEW AND EMERGING TOBACCO PRODUCTS ON LUNG HYD ,UNIV OF NORTH CAROLINA CHAPEL HILL,2016,,609861
THE IMPACT OF TOBACCO EXPOSURE ON THE LUNGS INNATE DEFENSE SYSTEM,UNIV OF NORTH CAROLINA CHAPEL HILL,2016,3999997,
ALLOSTERIC INHIBITION OF THE SHP2 ONCOPROTEIN IN BREAST CANCER,SANFORD BURNHAM PREBYS MEDICAL DISCOVERY INSTITUTE,2016,254475,
UNRAVELING THE MOLECULAR CONTROL OF A PRO-METASTATIC REGULATORY NETWORK IN MELANOMA,ROCKEFELLER UNIVERSITY,2016,387731,
EARLY PHASE CLINICAL RESEARCH SUPPORT (CORE 018),UNIVERSITY OF PITTSBURGH AT PITTSBURGH,2016,,101906
CHEMICAL BIOLOGY FACILITY,UNIVERSITY OF PITTSBURGH AT PITTSBURGH,2016,,75746
INTEGRATING EVIDENCE-BASED SMOKING CESSATION INTERVENTIONS INTO LUNG CANCER SCREENING PROGRAMS: A RANDOMIZED TRIAL,GEORGETOWN UNIVERSITY,2016,702022,
NUTRITION INTERVENTION TRIALS IN LINXIAN CHINA,DIVISION OF CANCER EPIDEMIOLOGY AND GENETICS,2015,410527,
BIOLOGIC SPECIMEN BANK FOR EARLY LUNG CANCER MARKERS IN CHINESE TIN MINERS,DIVISION OF CANCER EPIDEMIOLOGY AND GENETICS,2015,158032,
CENTER FOR HEMOGLOBIN RESEARCH IN MINORITIES (CHARM),HOWARD UNIVERSITY,2016,1427955,
PROFILING GLYCOSYLTRANSFERASE ACTIVITIES ON THE EPITHELIAL-MESENCHYMAL TRANSITION IN BREAST EPITHELIAL CELLS USING PEPTIDE ARRAYS AND MASS SPECTROMETRY,NORTHWESTERN UNIVERSITY,2016,48576,
COMPUTING HEPATIC INTERCELLULAR COMMUNICATIONS IN RESPONSE TO TOXICANT EXPOSURES,VIRGINIA POLYTECHNIC INST AND ST UNIV,2016,59970,
WORKSHOP ON METHODS IN SUPPORTIVE ONCOLOGY RESEARCH,MASSACHUSETTS GENERAL HOSPITAL,2016,267904,
A RANDOMIZED TRIAL OF EARLY PALLIATIVE CARE FOR NEWLY DIAGNOSED CANCER PATIENTS,MASSACHUSETTS GENERAL HOSPITAL,2015,446184,
OPTIMIZATION OF HIGH DOSE CONFORMAL THERAPY,UNIVERSITY OF MICHIGAN,2016,2748478,
EXTRACELLULAR REDOX SIGNALING IN MAMMARY TUMOR-FIBROBLAST INTERACTIONS,UNIVERSITY OF NEBRASKA MEDICAL CENTER,2016,312288,
(PQ1) EPIGENETIC EFFECTS OF THE PREMALIGNANT FIELD,UT SOUTHWESTERN MEDICAL CENTER,2016,357464,
TARGETING CXCR4 AND MICRORNA AS THERAPY FOR CHONDROSARCOMA,RHODE ISLAND HOSPITAL,2016,280000,
REDEFINING NORMAL: PERSONALIZED CA125 CUTPOINTS FOR OVARIAN CANCER SCREENING,BRIGHAM AND WOMEN'S HOSPITAL,2016,438367,
REGULATION OF MUCOUS CELL METAPLASIA IN ASTHMA,LOVELACE BIOMEDICAL & ENVIRONMENTAL RES,2016,716663,
AEROSOL DELIVERY OF TOPOTECAN FOR PERSONALIZED LUNG CANCER THERAPY,LOVELACE BIOMEDICAL & ENVIRONMENTAL RES,2016,506214,
PATHOGENESIS OF MALIGNANT MESOTHELIOMA BY THE HUMAN POLYCOMB COMPLEX BAP1-ASXL,RESEARCH INST OF FOX CHASE CAN CTR,2016,543681,
VPAC1 RECPETOR-TARGETED PET IMAGING OF PROSTATE CANCER,THOMAS JEFFERSON UNIVERSITY,2016,490625,
STATISTICAL METHODS FOR COMPLEX CANCER TRIALS,UNIVERSITY OF TX MD ANDERSON CAN CTR,2016,155200,
CANCER CENTER SUPPORT GRANT,UNIVERSITY OF COLORADO DENVER,2016,500000,
CANCER CENTER SUPPORT GRANT,UNIVERSITY OF COLORADO DENVER,2016,57531,
CANCER CENTER SUPPORT GRANT,UNIVERSITY OF COLORADO DENVER,2016,197779,
CANCER CENTER SUPPORT GRANT,UNIVERSITY OF COLORADO DENVER,2016,3388040,
REGULATION AND TARGETING OF CD24 IN BLADDER CANCER,UNIVERSITY OF COLORADO DENVER,2016,369313,
TARGETING RAL GTPASES IN BLADDER CANCER,UNIVERSITY OF TX MD ANDERSON CAN CTR,2016,,300891
INTEGRATION OF MECHANICAL AND SOLUBLE SIGNALING IN TUMOR ANGIOGENESIS,NORTHEAST OHIO MEDICAL UNIVERSITY,2016,453140,
REGULATION OF TRAIL INDUCED APOPTOSIS IN CANCER CELLS,UNIVERSITY OF PITTSBURGH AT PITTSBURGH,2015,319550,
NHLBI SUMMER TRAINING EXPERIENCE TO INCREASE DIVERSITY IN HEALTH-RELATED RESEARCH,HARVARD MEDICAL SCHOOL,2016,102168,
LUNG TISSUE RESEARCH CONSORTIUM (LTRC) DATA COORDINATING CENTER,CLINICAL TRIALS AND SURVEYS CORPORATION,2015,357318,
BIOSTATISTIC,SLOAN-KETTERING INST CAN RESEARCH,2016,,944198
GENOMICS,SLOAN-KETTERING INST CAN RESEARCH,2016,,734379
STRUCTURE-FUNCTION INVESTIGATION OF DAN-MEDIATED BMP ANTAGONISM,UNIVERSITY OF CINCINNATI,2016,418879,
ROLE OF AUTOPHAGY IN TUMOR CELL DEATH,UNIVERSITY OF COLORADO DENVER,2016,397023,
AUTOPHAGY REGULATION OF PROSTATE TUMOR DEVELOPMENT,UNIVERSITY OF COLORADO DENVER,2016,202928,
SOURCES AND IMPACT OF STIGMA FOR RURAL BREAST; PROSTATE AND LUNG CANCER SURVIVORS,OREGON STATE UNIVERSITY,2016,73500,
PULMONARY TOXICOLOGY FACILITY CORE,UNIVERSITY OF IOWA,2016,,249062
COMMUNITY OUTREACH AND EDUCATION CORE,UNIVERSITY OF IOWA,2016,,145605
FLAVOPROTEINS IN OXIDATIVE PROTEIN FOLDING,UNIVERSITY OF DELAWARE,2016,353496,
LONG-TERM AIR POLLUTION EXPOSURE AND MORTALITY IN THE NIH-AARP COHORT,NEW YORK UNIVERSITY SCHOOL OF MEDICINE,2015,380786,
CORE A: BIOSTATISTICS AND BIOINFORMATICS CORE,CEDARS-SINAI MEDICAL CENTER,2016,,149234
ANTICANCER STRATEGIES TARGETING THE AUTOTAXIN-LPA RECEPTOR AXIS,UNIVERSITY OF TENNESSEE HEALTH SCI CTR,2016,297491,
DEVELOPING PERSONALIZED SMOKING TREATMENT IN THE SOUTHERN COMMUNITY COHORT STUDY,VANDERBILT UNIVERSITY MEDICAL CENTER,2016,,168177
DEVELOPMENT OF PEPTIDE-CONJUGATE BIOMIMICS FOR TARGETED TI(IV)-BASED ANTICANCER D,UNIVERSITY OF PUERTO RICO RIO PIEDRAS,2016,348000,
NONMYELOABLATIVE ALLOGENEIC PBSC IN GLOBIN DISORDERS,"NATIONAL HEART, LUNG, AND BLOOD INSTITUTE",2015,547494,
RADIATION-INDUCED TRANSLATIONAL CONTROL OF GENE EXPRESSION,DIVISION OF BASIC SCIENCES - NCI,2015,681047,
STEM CELL TOXICOLOGY,NATIONAL INSTITUTE OF ENVIRONMENTAL HEALTH SCIENCES,2015,3092078,
NOVEL TREATMENT TO ENHANCE SMOKING CESSATION BEFORE CANCER SURGERY,MEDICAL UNIVERSITY OF SOUTH CAROLINA,2015,61944,
PERSONALIZED PREVENTION: SMOKING CESSATION IN LUNG NODULE PATIENTS,YALE UNIVERSITY,2016,,208785
GAIN-FRAMED MESSAGES AND NRT SAMPLING TO PROMOTE SMOKING CESSATION IN LUNG CANCER SCREENING PROGRAMS,MEDICAL UNIVERSITY OF SOUTH CAROLINA,2016,611518,
POINT-OF CARE MICROFLUIDICS FOR EARLY DETECTION OF CANCER,MASSACHUSETTS GENERAL HOSPITAL,2016,2082080,
UNDERSTANDING HEALTH SYSTEM; PRACTICE; CLINICIAN AND PATIENT FACTORS ASSOCIATED WITH THE IMPLEMENTATION OF NEW CLINICAL PRACTICE GUIDELINES,VIRGINIA COMMONWEALTH UNIVERSITY,2016,,
MULTIFUNCTIONAL MATRIX METALLOPROTEASE-2-SENSITIVE ANTI-CANCER NANOPREPARATIONS,NORTHEASTERN UNIVERSITY,2015,202928,
ANGIOGENESIS AND TUMOR GROWTH,DIVISION OF CLINICAL SCIENCES - NCI,2015,862835,
A ROLE FOR KSHV IN THE PATHOGENESIS OF MALIGNANCIES,DIVISION OF CLINICAL SCIENCES - NCI,2015,345134,
SKELETAL MUSCLE ATROPHY AND DYSFUNCTION IN HUMAN CANCER,UNIVERSITY OF VERMONT & ST AGRIC COLLEGE,2016,418961,
ALTERNATIVE EXERCISE MODALITIES TO IMPROVE SKELETAL MUSCLE FUNCTION IN CANCER SURVIVORS,UNIVERSITY OF VERMONT & ST AGRIC COLLEGE,2016,201460,
STRUCTURE-FUNCTIONS STUDIES OF TWIST1-INDUCED RADIORESISTANCE IN LUNG CANCER,JOHNS HOPKINS UNIVERSITY,2016,335670,
 LYMPHANGIOLEIOMYOMATOSIS,CINCINNATI CHILDRENS HOSP MED CTR,2016,,87157
GENETIC SUSCEPTIBILITY AND BIOMARKERS OF PLATINUM-RELATED TOXICITIES,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS,2016,1,
MECHANISMS OF RISK FOR SULFONIAMIDE HYPERSENSITIVITY,UNIVERSITY OF WISCONSIN-MADISON,2015,285676,
PROJECT 3 - ETHNIC/RACIAL DIFFERENCES IN METABOLISM AND DNA ADDUCT FORMATION BY 1;3-BUTADIENE,UNIVERSITY OF MINNESOTA,2016,,243310
HOMOCITRATE SYNTHASE INHIBITORS AS NOVEL ANTIFUNGAL AGENTS FOR ASPERGILLUS,UNIVERSITY OF MICHIGAN,2015,193750,
ROLE OF MOUSE MICROBIOME IN CANCER AND INFLAMMATION,DIVISION OF BASIC SCIENCES - NCI,2015,798983,
KPT-335 AS NOVEL THERAPEUTIC FOR RESPIRATORY SYNCYTIAL VIRUS,UNIVERSITY OF GEORGIA,2016,165933,
RECIPIENT EPIDEMIOLOGY AND DONOR EVALUATION STUDY III (REDS-III) DOMESTIC HUB,INSTITUTE FOR TRANSFUSION MEDICINE,2014,822762,
RECIPIENT EPIDEMIOLOGY AND DONOR EVALUATION STUDY III (REDS-III) DOMESTIC HUB,INSTITUTE FOR TRANSFUSION MEDICINE,2013,2884691,
FULL PROJECT 3: MOLECULAR PATHWAYS TO BREAST CANCER MORTALITY AMONG AFRICAN AMERICAN AND WHITE WOMEN,UNIV OF NORTH CAROLINA CHAPEL HILL,2016,,200181
CANCER; CARE COORDINATION; AND MEDICATION USE FOR MULTIPLE CHRONIC CONDITIONS,UNIV OF NORTH CAROLINA CHAPEL HILL,2016,218120,
EXPERIMENTAL THERAPEUTICS PROGRAM,ROSWELL PARK CANCER INSTITUTE CORP,2016,,82716
DATA BANK AND BIO REPOSITORY SHARED RESOURCE,ROSWELL PARK CANCER INSTITUTE CORP,2016,,113480
MORPHOLOGY; IMAGING; AND INSTRUMENTATION (CORE B),MEDICAL UNIVERSITY OF SOUTH CAROLINA,2016,,295002
IDENTIFICATION OF HUMAN TUMOR-ASSOCIATED ANTIGENS,DIVISION OF BASIC SCIENCES - NCI,2015,579726,
ANALYSES OF HUMAN T REGULATORY CELLS,DIVISION OF BASIC SCIENCES - NCI,2015,579726,
BIOMECHANICAL ENRICHMENT OF MALIGNANT CELLS ENABLING COMPANION DIAGNOSTICS,"CYTOVALE, INC.",2015,349993,
DIFFERENTIAL REGULATION OF RNA PROCESSING BY AKT ISOFORMS,TUFTS MEDICAL CENTER,2016,377438,
THE ROLE OF IWS1 IN DEVELOPMENT AND TUMORIGENESIS,TUFTS MEDICAL CENTER,2016,531687,
THE ROLE OF FOLLICULIN; TUMOR SUPPRESSOR MUTATED IN BHD; IN MTOR NUTRIENT SENSING,HARVARD MEDICAL SCHOOL,2014,47676,
FAMILY STUDIES,DIVISION OF CANCER EPIDEMIOLOGY AND GENETICS,2015,3831141,
